sex,age,age.group,dob,longitude,latitude,pc.district,pc.area,region,bread,clothing,meal,foot.cut,for.more,one.gone,book.spook,fur.bear,pour.poor,eight.ate,spa.spar,give.it.me,things.what
male,28,21 to 40,1988,-2.310609898714405,53.52520741840182,M27,M,North West,"bap, barm","pants, trousers",tea,rhyme,don't rhyme,rhyme,don't rhyme,don't rhyme,same,same,same,a,b
female,82,> 80,1932,-1.4786113984772675,53.31089546002194,S18,S,East Midlands,bap,trousers,tea,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,same,a,c
male,24,21 to 40,1995,-1.3240071411269592,51.07517866800035,SO22,SO,South East,bap,trousers,dinner,don't rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,different,different,b,e
male,19,< 20,1995,-1.4938787876532758,53.791351473016135,LS9,LS,Yorkshire and The Humber,bread cake,pants,"dinner, tea",don't rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,same,c,d
female,21,21 to 40,1992,-1.5339417449731827,53.47353017232402,S35,S,Yorkshire and The Humber,bread cake,trousers,tea,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,same,a,d
male,19,< 20,1995,-1.2852650171698805,54.0234300809117,YO26,YO,Yorkshire and The Humber,bun,trousers,tea,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,same,d,b
female,20,< 20,1997,-2.928988653591783,53.4555194974526,L9,L,North West,barm,pants,tea,rhyme,rhyme,don't rhyme,don't rhyme,rhyme,same,same,same,c,b
female,50,41 to 60,1964,-1.070551117536282,53.00555727313388,NG4,NG,East Midlands,cob,other (bottoms),dinner,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,same,a,a
female,19,< 20,2000,-3.2009995932980893,51.47539243905029,CF11,CF,Wales,cob,trousers,tea,don't rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,same,b,d
female,18,< 20,1999,-3.8699433490264057,50.34625510207542,PL21,PL,South West,roll,trousers,dinner,don't rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,same,same,same,d,b
female,23,21 to 40,1990,-1.5441780793293114,53.34697010726164,S11,S,Yorkshire and The Humber,"bun, roll",trousers,tea,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,same,same,same,a,c
female,20,< 20,1994,0.7880316241970783,51.1698566582264,TN27,TN,South East,"bap, bun, roll",trousers,dinner,don't rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,same,same,d,c
male,21,21 to 40,1992,-2.7694414598730903,51.42816344475541,BS48,BS,South West,bap,trousers,dinner,don't rhyme,rhyme,don't rhyme,rhyme,don't rhyme,same,same,same,b,c
male,44,41 to 60,1970,-0.9695930783418855,54.56813921550178,TS12,TS,North East,roll,trousers,tea,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,same,same,c,c
male,20,< 20,1996,-2.6039356302895986,53.446301855912694,WA12,WA,North West,"barm, roll",pants,tea,rhyme,rhyme,rhyme,don't rhyme,rhyme,same,same,same,a,a
male,20,< 20,1993,-1.5534098026289982,54.54038456842853,DL3,DL,North East,bun,trousers,tea,rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,different,same,e,c
male,20,< 20,1998,-2.411615862092438,50.709683620450924,DT1,DT,South West,roll,"pants, trousers",dinner,don't rhyme,rhyme,rhyme,don't rhyme,don't rhyme,different,same,same,d,b
male,26,21 to 40,1988,-1.3213219787396142,54.57772085776251,TS19,TS,North East,bun,trousers,tea,don't rhyme,rhyme,rhyme,rhyme,don't rhyme,different,same,same,c,b
male,19,< 20,1995,-3.4163990316715154,54.48992984505691,CA22,CA,North West,roll,trousers,"dinner, tea",rhyme,rhyme,rhyme,rhyme,don't rhyme,same,same,same,b,b
male,52,41 to 60,1965,-2.532902436493039,53.51825277594502,WN7,WN,North West,barm,trousers,tea,rhyme,don't rhyme,rhyme,don't rhyme,rhyme,same,different,same,a,b
male,63,61 to 80,1951,-1.5975968171452495,54.98888080537284,NE2,NE,North East,bun,trousers,supper,don't rhyme,rhyme,don't rhyme,don't rhyme,don't rhyme,different,same,same,c,b
